# Via Lactea II - spherical shell sample - g(v_min)
#
# v_min         g00         g01         g02         g03         g04         g05         g06         g07         g08         g09         g10         g11
# [km/s]  [(km/s)^-1]
#
  0.0     4.095e-03   4.073e-03   4.014e-03   3.933e-03   3.859e-03   3.807e-03   3.791e-03   3.810e-03   3.862e-03   3.933e-03   4.012e-03   4.072e-03
  1.0     4.095e-03   4.072e-03   4.014e-03   3.932e-03   3.859e-03   3.807e-03   3.791e-03   3.810e-03   3.862e-03   3.933e-03   4.012e-03   4.072e-03
  2.0     4.095e-03   4.072e-03   4.013e-03   3.932e-03   3.859e-03   3.807e-03   3.791e-03   3.810e-03   3.862e-03   3.933e-03   4.012e-03   4.071e-03
  3.0     4.095e-03   4.074e-03   4.015e-03   3.935e-03   3.861e-03   3.808e-03   3.791e-03   3.809e-03   3.860e-03   3.930e-03   4.009e-03   4.070e-03
  4.0     4.094e-03   4.071e-03   4.010e-03   3.929e-03   3.856e-03   3.806e-03   3.791e-03   3.811e-03   3.864e-03   3.935e-03   4.014e-03   4.072e-03
  5.0     4.094e-03   4.070e-03   4.010e-03   3.929e-03   3.856e-03   3.806e-03   3.790e-03   3.810e-03   3.863e-03   3.935e-03   4.014e-03   4.072e-03
  6.0     4.094e-03   4.068e-03   4.007e-03   3.926e-03   3.853e-03   3.804e-03   3.790e-03   3.811e-03   3.865e-03   3.938e-03   4.015e-03   4.073e-03
  7.0     4.093e-03   4.069e-03   4.008e-03   3.928e-03   3.855e-03   3.805e-03   3.790e-03   3.809e-03   3.863e-03   3.934e-03   4.012e-03   4.071e-03
  8.0     4.092e-03   4.069e-03   4.008e-03   3.928e-03   3.854e-03   3.805e-03   3.789e-03   3.809e-03   3.862e-03   3.934e-03   4.012e-03   4.070e-03
  9.0     4.092e-03   4.068e-03   4.007e-03   3.927e-03   3.854e-03   3.804e-03   3.789e-03   3.809e-03   3.862e-03   3.933e-03   4.011e-03   4.069e-03
 10.0     4.090e-03   4.073e-03   4.016e-03   3.936e-03   3.862e-03   3.808e-03   3.788e-03   3.804e-03   3.853e-03   3.922e-03   4.001e-03   4.063e-03
 11.0     4.090e-03   4.069e-03   4.011e-03   3.930e-03   3.857e-03   3.805e-03   3.787e-03   3.806e-03   3.856e-03   3.927e-03   4.005e-03   4.065e-03
 12.0     4.089e-03   4.068e-03   4.010e-03   3.929e-03   3.856e-03   3.804e-03   3.787e-03   3.805e-03   3.855e-03   3.926e-03   4.004e-03   4.064e-03
 13.0     4.088e-03   4.066e-03   4.006e-03   3.925e-03   3.853e-03   3.802e-03   3.786e-03   3.805e-03   3.856e-03   3.928e-03   4.005e-03   4.065e-03
 14.0     4.087e-03   4.062e-03   4.000e-03   3.919e-03   3.849e-03   3.799e-03   3.786e-03   3.807e-03   3.860e-03   3.932e-03   4.009e-03   4.066e-03
 15.0     4.087e-03   4.065e-03   4.007e-03   3.926e-03   3.854e-03   3.802e-03   3.785e-03   3.802e-03   3.852e-03   3.923e-03   4.001e-03   4.061e-03
 16.0     4.085e-03   4.064e-03   4.005e-03   3.925e-03   3.853e-03   3.800e-03   3.784e-03   3.801e-03   3.851e-03   3.922e-03   4.000e-03   4.059e-03
 17.0     4.084e-03   4.061e-03   4.002e-03   3.922e-03   3.850e-03   3.798e-03   3.783e-03   3.801e-03   3.853e-03   3.923e-03   4.001e-03   4.060e-03
 18.0     4.082e-03   4.060e-03   4.001e-03   3.920e-03   3.849e-03   3.797e-03   3.781e-03   3.800e-03   3.852e-03   3.922e-03   4.000e-03   4.058e-03
 19.0     4.081e-03   4.057e-03   3.997e-03   3.917e-03   3.845e-03   3.795e-03   3.780e-03   3.800e-03   3.852e-03   3.923e-03   4.001e-03   4.058e-03
 20.0     4.079e-03   4.057e-03   3.998e-03   3.918e-03   3.846e-03   3.795e-03   3.779e-03   3.798e-03   3.849e-03   3.919e-03   3.997e-03   4.055e-03
 21.0     4.078e-03   4.057e-03   3.998e-03   3.919e-03   3.847e-03   3.795e-03   3.778e-03   3.795e-03   3.845e-03   3.915e-03   3.993e-03   4.052e-03
 22.0     4.076e-03   4.054e-03   3.994e-03   3.915e-03   3.843e-03   3.793e-03   3.776e-03   3.795e-03   3.846e-03   3.916e-03   3.993e-03   4.052e-03
 23.0     4.074e-03   4.052e-03   3.993e-03   3.913e-03   3.841e-03   3.791e-03   3.775e-03   3.793e-03   3.845e-03   3.914e-03   3.992e-03   4.050e-03
 24.0     4.072e-03   4.050e-03   3.991e-03   3.912e-03   3.839e-03   3.790e-03   3.774e-03   3.792e-03   3.843e-03   3.912e-03   3.990e-03   4.048e-03
 25.0     4.070e-03   4.045e-03   3.984e-03   3.905e-03   3.834e-03   3.786e-03   3.773e-03   3.793e-03   3.846e-03   3.916e-03   3.992e-03   4.049e-03
 26.0     4.068e-03   4.047e-03   3.989e-03   3.910e-03   3.838e-03   3.788e-03   3.771e-03   3.788e-03   3.838e-03   3.907e-03   3.983e-03   4.043e-03
 27.0     4.065e-03   4.044e-03   3.985e-03   3.906e-03   3.834e-03   3.785e-03   3.769e-03   3.788e-03   3.838e-03   3.908e-03   3.983e-03   4.042e-03
 28.0     4.063e-03   4.043e-03   3.986e-03   3.907e-03   3.835e-03   3.784e-03   3.767e-03   3.785e-03   3.834e-03   3.903e-03   3.979e-03   4.039e-03
 29.0     4.061e-03   4.039e-03   3.981e-03   3.902e-03   3.831e-03   3.782e-03   3.766e-03   3.784e-03   3.834e-03   3.903e-03   3.979e-03   4.038e-03
 30.0     4.059e-03   4.035e-03   3.976e-03   3.897e-03   3.827e-03   3.779e-03   3.764e-03   3.783e-03   3.834e-03   3.904e-03   3.980e-03   4.037e-03
 31.0     4.056e-03   4.037e-03   3.981e-03   3.903e-03   3.831e-03   3.780e-03   3.762e-03   3.778e-03   3.826e-03   3.894e-03   3.971e-03   4.030e-03
 32.0     4.053e-03   4.036e-03   3.981e-03   3.903e-03   3.831e-03   3.779e-03   3.760e-03   3.775e-03   3.822e-03   3.889e-03   3.966e-03   4.026e-03
 33.0     4.051e-03   4.030e-03   3.971e-03   3.893e-03   3.823e-03   3.773e-03   3.758e-03   3.777e-03   3.826e-03   3.894e-03   3.971e-03   4.028e-03
 34.0     4.049e-03   4.025e-03   3.966e-03   3.888e-03   3.819e-03   3.770e-03   3.757e-03   3.776e-03   3.826e-03   3.895e-03   3.970e-03   4.026e-03
 35.0     4.046e-03   4.021e-03   3.961e-03   3.883e-03   3.814e-03   3.767e-03   3.755e-03   3.775e-03   3.825e-03   3.894e-03   3.970e-03   4.025e-03
 36.0     4.043e-03   4.020e-03   3.961e-03   3.883e-03   3.814e-03   3.766e-03   3.752e-03   3.772e-03   3.821e-03   3.890e-03   3.965e-03   4.021e-03
 37.0     4.040e-03   4.018e-03   3.960e-03   3.883e-03   3.813e-03   3.764e-03   3.750e-03   3.768e-03   3.817e-03   3.885e-03   3.960e-03   4.017e-03
 38.0     4.037e-03   4.012e-03   3.953e-03   3.875e-03   3.807e-03   3.760e-03   3.748e-03   3.768e-03   3.818e-03   3.887e-03   3.962e-03   4.017e-03
 39.0     4.034e-03   4.012e-03   3.954e-03   3.877e-03   3.808e-03   3.759e-03   3.745e-03   3.763e-03   3.812e-03   3.880e-03   3.954e-03   4.011e-03
 40.0     4.031e-03   4.006e-03   3.947e-03   3.870e-03   3.802e-03   3.755e-03   3.743e-03   3.763e-03   3.813e-03   3.882e-03   3.956e-03   4.010e-03
 41.0     4.028e-03   4.006e-03   3.948e-03   3.872e-03   3.803e-03   3.755e-03   3.740e-03   3.758e-03   3.807e-03   3.874e-03   3.948e-03   4.004e-03
 42.0     4.024e-03   4.005e-03   3.950e-03   3.874e-03   3.804e-03   3.754e-03   3.738e-03   3.753e-03   3.800e-03   3.866e-03   3.941e-03   3.998e-03
 43.0     4.021e-03   4.001e-03   3.944e-03   3.868e-03   3.800e-03   3.751e-03   3.735e-03   3.752e-03   3.800e-03   3.866e-03   3.940e-03   3.997e-03
 44.0     4.017e-03   3.993e-03   3.934e-03   3.858e-03   3.790e-03   3.745e-03   3.733e-03   3.752e-03   3.803e-03   3.870e-03   3.943e-03   3.997e-03
 45.0     4.013e-03   3.991e-03   3.933e-03   3.858e-03   3.790e-03   3.743e-03   3.730e-03   3.748e-03   3.798e-03   3.864e-03   3.937e-03   3.992e-03
 46.0     4.010e-03   3.990e-03   3.934e-03   3.859e-03   3.791e-03   3.742e-03   3.727e-03   3.743e-03   3.791e-03   3.856e-03   3.930e-03   3.987e-03
 47.0     4.007e-03   3.984e-03   3.926e-03   3.851e-03   3.784e-03   3.737e-03   3.724e-03   3.742e-03   3.792e-03   3.858e-03   3.931e-03   3.986e-03
 48.0     4.003e-03   3.981e-03   3.925e-03   3.850e-03   3.783e-03   3.736e-03   3.721e-03   3.739e-03   3.786e-03   3.852e-03   3.925e-03   3.980e-03
 49.0     3.999e-03   3.977e-03   3.922e-03   3.847e-03   3.780e-03   3.733e-03   3.718e-03   3.735e-03   3.783e-03   3.849e-03   3.922e-03   3.976e-03
 50.0     3.995e-03   3.976e-03   3.922e-03   3.848e-03   3.780e-03   3.732e-03   3.715e-03   3.730e-03   3.776e-03   3.841e-03   3.913e-03   3.970e-03
 51.0     3.991e-03   3.969e-03   3.914e-03   3.840e-03   3.773e-03   3.726e-03   3.712e-03   3.729e-03   3.777e-03   3.842e-03   3.914e-03   3.969e-03
 52.0     3.987e-03   3.965e-03   3.910e-03   3.836e-03   3.769e-03   3.723e-03   3.709e-03   3.726e-03   3.774e-03   3.839e-03   3.910e-03   3.965e-03
 53.0     3.982e-03   3.960e-03   3.904e-03   3.830e-03   3.764e-03   3.719e-03   3.706e-03   3.724e-03   3.772e-03   3.837e-03   3.908e-03   3.962e-03
 54.0     3.978e-03   3.960e-03   3.907e-03   3.834e-03   3.766e-03   3.719e-03   3.702e-03   3.717e-03   3.763e-03   3.826e-03   3.898e-03   3.953e-03
 55.0     3.974e-03   3.951e-03   3.896e-03   3.823e-03   3.757e-03   3.712e-03   3.699e-03   3.717e-03   3.765e-03   3.830e-03   3.900e-03   3.954e-03
 56.0     3.969e-03   3.947e-03   3.892e-03   3.819e-03   3.754e-03   3.709e-03   3.695e-03   3.714e-03   3.761e-03   3.826e-03   3.896e-03   3.949e-03
